"Capability","SM89 Value","Notes"
"Shared memory per SM","100 KB (99 KB usable per block)","4KB less than the 164KB A100 SMEM — tightest constraint"
"Registers per SM","64K × 32-bit","Identical to SM86/SM87"
"Max warps per SM","48","Same as SM86"
"Max thread blocks per SM","24","Same as SM86"
"FP32 throughput","2× SM80 (via duplicated FP32 pipelines)","Compile explicitly with -arch=sm_89 to unlock — binary built for SM80 leaves perf on the table"
"BF16 tensor cores","m16n8k16 MMA, same as SM80","Your mainloop reference is correct"
"FP8 tensor cores","mma.sync.aligned.m16n8k32.row.col.f32.e4m3.e4m3.f32","SM89-exclusive vs SM80; requires CUDA ≥ 12.4"
"FP8 instruction variants","e4m3×e4m3, e4m3×e5m2, e5m2×e4m3, e5m2×e5m2","All produce f32 accumulators"
"L2 cache","~32 MB (AD104 laptop)","16× larger than GA102 — dramatically changes streaming vs. residency behavior"
"L2 persistence API","cudaAccessPropertyPersisting","Available SM80+; newly impactful at this L2 size"
"cp.async","Yes (same as SM80)","4B, 8B, 16B variants"
"ldmatrix / stmatrix","Yes, including .trans variant","Same as SM80"
"stmatrix (store matrix)","SM89 adds stmatrix.sync for accumulator→SMEM","Not available on SM80! This is underexplored in your plan"
"redux.sync","warp-level atomic reduction","Available from SM80; useful for softmax and RMSNorm"
"Speculative execution / warp divergence recovery","Ada improved branch predictor","Minor; compile for sm_89 to benefit"
